TotalDeaths,Carrier,Aircraft,Location,Date
75,Avensa,McDonnell,"Maturín, Venezuela",12/22/1974
52,Lineas Aéreas del Estado,Fokker,"Pilcaniyeu, Argentina",3/16/1975
113,Eastern Air Lines,Boeing,"Jamaica, New York, US",6/24/1975
188,Alia Royal,Boeing,"Tamri, Morocco",8/3/1975
126,ČSA,Ilyushin,"Damascus, Syria",8/20/1975
60,Malév,Tupolev,"Beirut, Lebanon",9/30/1975
67,Transporte Aéreo,Convair,"Cordillera Mts., La Paz Region, Bolivia",10/27/1975
75,Inex-Adria Aviopromet,McDonnell,"Prague, Czechoslovakia",10/30/1975
62,Aeroflot,Tupolev,"Moscow Oblast, Russian SFSR, USSR",1/3/1976
111,Aeroflot/Armenia,Ilyushin,"Verkhnekhavsky District, Russian SFSR, USSR",3/6/1976
52,Aeroflot,Antonov,"Chernihiv, Ukrainian SSR, USSR",5/15/1976
76,ČSA,Ilyushin,"Bratislava, Czechoslovakia",7/28/1976
59,SAETA,Vickers,"Chimborazo volcano, Andes Mts., Ecuador",8/15/1976
68,Fuerza Aérea,Lockheed,"Lajes, Azores, Portugal",9/3/1976
64,Aeroflot Flight 7957and Aeroflot,Antonov,"Black Sea, near Anapa, Russian SFSR, USSR",9/9/1976
176,British Airways Flight 476 andInex Adria,Hawker,"Vrbovec, SR Croatia, Yugoslavia",9/10/1976
154,Turkish Airlines,Boeing,"Isparta, Turkey",9/19/1976
95,Indian Airlines,Sud,"Mumbai, India",10/12/1976
116,Lloyd Aéreo,Boeing,"Santa Cruz, Bolivia",10/13/1976
50,Olympic Airways,NAMC,"Servia, Greece",11/23/1976
72,Aeroflot,Tupolev,"Dmitrovsky District, Moscow Oblast, Russian SFSR, USSR",11/28/1976
71,EgyptAir,Boeing,"Bangkok, Thailand",12/25/1976
96,Aeroflot,Tupolev,"Almaty, Kazakh SSR, USSR",1/13/1977
77,Aeroflot,Ilyushin,"Mineralnye Vody, Russian SFSR, USSR",2/15/1977
583,Pan Am Flight 1736 andKLM,Boeing,"Tenerife, Spain",3/27/1977
72,Southern Airways,McDonnell,"New Hope, Georgia, US",4/4/1977
69,Aeroflot,Ilyushin,"Boyeros, Cuba",5/27/1977
131,TAP Portugal,Boeing,"Santa Cruz, Madeira",11/19/1977
59,Libyan Arab,Tupolev,"Ar Rajma, Libya",12/2/1977
213,Air India,Boeing,"Arabian Sea, off Mumbai, India",1/1/1978
73,Balkan,Tupolev,"Vratsa Province, Bulgaria",3/16/1978
144,PSA Flight 182 andPrivate,Boeing,"San Diego, California, US",9/25/1978
183,Icelandic Airlines,Douglas,"Katunayake, Sri Lanka",11/15/1978
108,Alitalia,McDonnell,"Tyrrhenian Sea, off Palermo, Italy",12/23/1978
58,Aeroflot,Tupolev,"Minsk, Byelorussian SSR, USSR",3/17/1979
57,SAETA,Vickers,"Pastaza Province, Ecuador",4/23/1979
273,American Airlines,McDonnell,"Des Plaines, Illinois, U.S.",5/25/1979
61,Garuda,Fokker,"Mount Sibayak, near Berastagi, Indonesia",7/11/1979
178,Aeroflot/Moldovia flight 7628 and Aeroflot,Tupolev,"Dniprodzerzhynsk, Ukrainian SSR, USSR",8/11/1979
63,Aeroflot,Tupolev,"Kirsanov, Russian SFSR, USSR",8/29/1979
73,Western Airlines,McDonnell,"Mexico City, Mexico",10/31/1979
156,Pakistan International Airlines,Boeing,"Taif, Saudi Arabia",11/26/1979
257,Air New Zealand,McDonnell,"Mount Erebus, Antarctica",11/28/1979
128,Iran Air,Boeing,"Alborz Mountains, Iran",1/21/1980
87,LOT Polish Airlines,Ilyushin,"Warsaw, Poland",3/14/1980
55,Transbrasil,Boeing,"Santa Catarina, Brazil",4/12/1980
146,Dan-Air,Boeing,"Tenerife, Canary Islands, Spain",4/25/1980
166,Aeroflot,Tupolev,"Almaty, Kazakh SSR, USSR",7/8/1980
301,Saudia,Lockheed,"Riyadh, Saudi Arabia",8/19/1980
70,TAC,Sud,"Riohacha, Colombia",12/21/1980
51,Soviet,Tupolev,"Pushkinsky District, Leningrad, Russian SFSR, USSR",2/7/1981
50,Somali Airlines,Fokker,"Bal'ad District, Somalia",7/20/1981
110,Far Eastern Air Transport,Boeing,"Miaoli, Taiwan",8/22/1981
50,Aeropesca Colombia,Vickers,"Garzón, Colombia",8/26/1981
99,Aeroflot,Tupolev,"Norilsk, Russian SFSR, USSR",11/16/1981
180,Inex-Adria Aviopromet,McDonnell,"Petreto-Bicchisano, Corsica, France",12/1/1981
78,Air Florida,Boeing,,1/13/1982
112,Civil Aviation Administration of China,Hawker,"Yangshuo, China",4/26/1982
137,VASP,Boeing,"Pacatuba, Brazil",6/8/1982
132,Aeroflot,Yakovlev,"Mazyr, Byelorussian SSR, USSR",6/28/1982
